asymmetric_NFA,asymmetric_smi,num_reports_asym,asym_med_PCE,symmetric_NFA,symmetric_smi,sym_med_PCE,num_reports_sym,donor,type,difference
SY2,N#C/C(C#N)=C1C(C(C2=CC(F)=C(C=C2\1)F)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)\C#N)Cl)=O)=C%10CCCCCCCCCCC)=C5S3,1,15.77,Y6,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,15.6,40,PBDB-TF,halogenation,0.17
6-IF2F,O=C1C2=CC(F)=C(F)C=C2C(/C1=C/C3=C(SC(C(OCC(CC)CCCC)=O)=C4F)C4=C(C5=CC6=C(C(C=C(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=C(C(F)=C(C(OCC(CCCC)CC)=O)S%10)C%10=C(/C=C(C(C%11=CC=CC=C%11%12)=O)/C%12=C(C#N)\C#N)S9)=C7)C8=C%13)=C%13C6(CCCCCCCC)CCCCCCCC)S5)S3)=C(C#N)/C#N,1,10.82,6-IF4F,O=C1C2=CC(F)=C(F)C=C2C(/C1=C/C3=C(SC(C(OCC(CC)CCCC)=O)=C4F)C4=C(C5=CC6=C(C(C=C(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=C(C(F)=C(C(OCC(CCCC)CC)=O)S%10)C%10=C(/C=C(C(C%11=CC(F)=C(F)C=C%11%12)=O)/C%12=C(C#N)\C#N)S9)=C7)C8=C%13)=C%13C6(CCCCCCCC)CCCCCCCC)S5)S3)=C(C#N)/C#N,10.22,1,PTB7-Th,halogenation,0.6
a-IT-2F,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C%15=CC(F)=C(F)C=C%15C%14=C(C#N)C#N)C3,1,9.97,IT-4F,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(F)=C(F)C=C%151,9.32,2,PBDB-T,halogenation,0.65
BTIC-2Cl-yCF3,O=C1C2=CC(Cl)=C(Cl)C=C2C(/C1=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(C(F)(F)F)C=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)CC(CC)CCCC)CC(CC)CCCC)=C5S3)=C(C#N)\C#N,1,16.01,BTIC-CF3-y,O=C1C2=CC(C(F)(F)F)=CC=C2C(/C1=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(C(F)(F)F)C=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)CC(CCCC)CC)CC(CCCC)CC)=C5S3)=C(C#N)\C#N,15.06,2,PM6,halogenation,0.95
SY3,N#C/C(C#N)=C1C(C(C2=CC=C(C=C2\1)Cl)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)\C#N)Cl)=O)=C%10CCCCCCCCCCC)=C5S3,1,15.96,BTP-2Cl-delta,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC=C(Cl)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC=C(Cl)C=C%121,15,1,PBDB-TF,halogenation,0.96
SY1,N#C/C(C#N)=C1C(C(C2=CC(F)=C(C=C2\1)F)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=CC=C%12/C%11=C(C#N)\C#N)=O)=C%10CCCCCCCCCCC)=C5S3,1,16.6,Y6,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,15.6,40,PBDB-TF,halogenation,1
ITIC-2F_aldrich,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C%15=CC(F)=C(F)C=C%15C%14=C(C#N)C#N)C3,1,10.03,ITIC,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,8.92,2,PM6,halogenation,1.11
ID2F-C8,N#C/C(C#N)=C1C2=C(C(C\1=CC3=CC4=C(C5=C(C4(CCCCCCCC)CCCCCCCC)C=C(C6=C(C7(CCCCCCCC)CCCCCCCC)C=C(C=C8C(C9=C(/C8=C(C#N)/C#N)C=CC=C9)=O)S6)C7=C5)S3)=O)C=C(F)C(F)=C2,1,11.51,IDIC-C8,N#C/C(C#N)=C1C2=C(C(C\1=CC3=CC4=C(C5=C(C4(CCCCCCCC)CCCCCCCC)C=C(C6=C(C7(CCCCCCCC)CCCCCCCC)C=C(C=C8C(C9=C(/C8=C(C#N)/C#N)C=CC=C9)=O)S6)C7=C5)S3)=O)C=CC=C2,10.08,1,PM6,halogenation,1.43
6-IF2F,O=C1C2=CC(F)=C(F)C=C2C(/C1=C/C3=C(SC(C(OCC(CC)CCCC)=O)=C4F)C4=C(C5=CC6=C(C(C=C(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=C(C(F)=C(C(OCC(CCCC)CC)=O)S%10)C%10=C(/C=C(C(C%11=CC=CC=C%11%12)=O)/C%12=C(C#N)\C#N)S9)=C7)C8=C%13)=C%13C6(CCCCCCCC)CCCCCCCC)S5)S3)=C(C#N)/C#N,1,10.82,6-IFIC,O=C1C2=CC=CC=C2C(/C1=C/C3=C(SC(C(OCC(CC)CCCC)=O)=C4F)C4=C(C5=CC6=C(C(C=C(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=C(C(F)=C(C(OCC(CCCC)CC)=O)S%10)C%10=C(/C=C(C(C%11=CC=CC=C%11%12)=O)/C%12=C(C#N)\C#N)S9)=C7)C8=C%13)=C%13C6(CCCCCCCC)CCCCCCCC)S5)S3)=C(C#N)/C#N,9.35,1,PTB7-Th,halogenation,1.47
SY1,N#C/C(C#N)=C1C(C(C2=CC(F)=C(C=C2\1)F)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=CC=C%12/C%11=C(C#N)\C#N)=O)=C%10CCCCCCCCCCC)=C5S3,1,16.6,BTP-2Cl-delta,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC=C(Cl)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC=C(Cl)C=C%121,15,1,PBDB-TF,halogenation,1.6
ID2F-C8,N#C/C(C#N)=C1C2=C(C(C\1=CC3=CC4=C(C5=C(C4(CCCCCCCC)CCCCCCCC)C=C(C6=C(C7(CCCCCCCC)CCCCCCCC)C=C(C=C8C(C9=C(/C8=C(C#N)/C#N)C=CC=C9)=O)S6)C7=C5)S3)=O)C=C(F)C(F)=C2,1,11.51,ID4F-C8,N#C/C(C#N)=C1C2=C(C=C(C(F)=C2)F)C(C/1=CC3=CC4=C(S3)C5=C(C=C(C6=C5)C7=C(C=C(S7)C=C8C(C9=C(C=C(F)C(F)=C9)/C8=C(C#N)\C#N)=O)C6(CCCCCCCC)CCCCCCCC)C4(CCCCCCCC)CCCCCCCC)=O,9.03,1,PM6,halogenation,2.48
