asymmetric_NFA,asymmetric_smi,num_reports_asym,asym_med_PCE,symmetric_NFA,symmetric_smi,sym_med_PCE,num_reports_sym,donor,type,difference
A-WSSe-Cl,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(C=C2\1)Cl)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCCCC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CCCCCC)CCCC)C9=C8SC%10=C9[Se]C(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)\C#N)Cl)=O)=C%10CCCCCCCCCCC)=C5S3,1,17.36,S-WSeSe-Cl,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(C=C2\1)Cl)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCCCC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CCCCCC)CCCC)C9=C8SC%10=C9[Se]C(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)\C#N)Cl)=O)=C%10CCCCCCCCCCC)=C5[Se]3,15.82,1,PM6,core,1.54
Y22,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NN(N=C6C=7C=8SC(C=C9C(=O)C%10=CC(F)=C(F)C=C%10C9=C(C#N)C#N)=C(C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)CCCCCC)CC(CC)CCCC)C2CCCCCC)C(=O)C%11=CC(F)=C(F)C=C%111,1,15.4,Y26,O=C1C2=CC(F)=C(F)C=C2C(/C1=C/C3=C(CCCCCC)C(N(C4=C5C6=NN(CC(CC)CCCC)N=C6C7=C4N(C8=C7SC(/C=C9/C(C%10=C(C9=O)C=C(F)C(F)=C%10)=C(C#N)\C#N)=C8CCCCCC)CC(CC)CCCC)CC(CC)CCCC)=C5S3)=C(C#N)\C#N,13.46,2,PM6,core,1.94
DBT-4F,O=C1C2=CC(F)=C(F)C=C2C(/C1=C/C3=C(CCCCCC)C=C(S3)C(C(OCC(CCCCCC)CCCCCCCC)=C4)=CC(OCC(CCCCCCCC)CCCCCC)=C4C5=CC(N6C(CCCCCCCC)CCCCCCCC)=C(S5)C7=C6C=C(S7)/C=C(C(C8=CC(F)=C(F)C=C89)=O)/C9=C(C#N)\C#N)=C(C#N)/C#N,1,11.89,DBD-4F,O=C1C2=CC(F)=C(F)C=C2C(/C1=C/C3=CC(N4C(CCCCCCCC)CCCCCCCC)=C(S3)C5=C4C=C(S5)C(C(OCC(CCCCCC)CCCCCCCC)=C6)=CC(OCC(CCCCCCCC)CCCCCC)=C6C7=CC(N8C(CCCCCCCC)CCCCCCCC)=C(S7)C9=C8C=C(S9)/C=C(C(C%10=CC(F)=C(F)C=C%10%11)=O)/C%11=C(C#N)\C#N)=C(C#N)/C#N,8.05,1,PBDB-T,linker,3.84
Y21,N#C/C(C#N)=C1C(C(C2=CC(F)=C(C=C2\1)F)=O)=CC3=C(CCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NN(CC(CCCC)CC)N=C7C8=C6N(CC(CCCC)CC)C9=C8SC(C=C%10C(C%11=CC(F)=C(C=C%11/C%10=C(C#N)/C#N)F)=O)=C9)=C5S3,1,15.2,Y25,O=C1C2=CC(F)=C(F)C=C2C(/C1=C/C3=CC(N(C4=C5C6=NN(CC(CC)CCCC)N=C6C7=C4N(C8=C7SC(/C=C9/C(C%10=C(C9=O)C=C(F)C(F)=C%10)=C(C#N)\C#N)=C8)CC(CC)CCCC)CC(CC)CCCC)=C5S3)=C(C#N)\C#N,11.25,1,PM6,core,3.95
PIST-4F,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=CC(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC(C%10=C(SCC(CC)CCCC)C=C(/C=C%11C(C(C=C(F)C(F)=C%12)=C%12C\%11=C(C#N)\C#N)=O)S%10)=C8)=C9C=C5C4(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14,1,13.7,PI-4F,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=CC(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC(/C=C%10C(C(C=C(F)C(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C8)=C9C=C5C4(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13,6.9,1,PM6,linker,6.8
IDTT-Br-2F,N#C/C(C#N)=C1C(C(C2=C/1C=C(Br)S2)=O)=CC3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C9C(C%10=C(C9(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C(C=C(C=C%14C(C(C=C(F)C(F)=C%15)=C%15/C%14=C(C#N)\C#N)=O)S%13)S%10)=C8)=C5S3,1,11.4,IT-4F,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(F)=C(F)C=C%151,13.98,2,PBDB-T-2Cl,end_group,-2.58
IDTT-M-2F,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC4=C(C5=C(S4)C(C=C6C(C7=CC=C(C=C7)CCCCCC)(C8=C(SC9=C8SC(/C=C%10/C(C%11=C(SC(C)=C%11)C%10=O)=C(C#N)/C#N)=C9)C6=C%12)C%13=CC=C(C=C%13)CCCCCC)=C%12C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)S3)=C(C#N)\C#N,1,11.5,IT-4F,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(F)=C(F)C=C%151,13.98,2,PBDB-T-2Cl,end_group,-2.48
ICCl-IDTT-BOACl,N#C/C(C1=NC2=C(C=CC(Cl)=C2)O1)=C\C3=CC4=C(S3)C5=C(S4)C6=CC7=C(C=C6C(C8=CC=C(C=C8)CCCCCC)5C9=CC=C(C=C9)CCCCCC)C(S%10)=C(C(C%11=CC=C(C=C%11)CCCCCC)7C%12=CC=C(C=C%12)CCCCCC)C(S%13)=C%10C=C%13/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O,1,10.03,IT-4Cl,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(Cl)=C(Cl)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(Cl)=C(Cl)C=C%151,12.39,3,PM6,end_group,-2.36
ICCl-IDTT-BOACl,N#C/C(C1=NC2=C(C=CC(Cl)=C2)O1)=C\C3=CC4=C(S3)C5=C(S4)C6=CC7=C(C=C6C(C8=CC=C(C=C8)CCCCCC)5C9=CC=C(C=C9)CCCCCC)C(S%10)=C(C(C%11=CC=C(C=C%11)CCCCCC)7C%12=CC=C(C=C%12)CCCCCC)C(S%13)=C%10C=C%13/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O,1,7.63,IT-4Cl,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(Cl)=C(Cl)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(Cl)=C(Cl)C=C%151,9.1,1,PBDB-T,end_group,-1.47
LC303,O=C1C2=CSC=C2C(/C1=C/C3=C(CC(CCCC)CCCCCC)C4=C(C5=C(S4)C(C6=NSN=C6C7=C8N(C9=C7SC%10=C9SC(/C=C%11/C(C(C=CC=C%12)=C%12C%11=O)=C(C#N)\C#N)=C%10CC(CCCC)CCCCCC)CC(CCCC)CC)=C8N5CC(CCCC)CC)S3)=C(C#N)\C#N,1,14.03,LC302,O=C1C2=CSC=C2C(/C1=C/C3=C(C4=C(S3)C(N(CC(CC)CCCC)C5=C6C7=NSN=C7C8=C5N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=CSC=C%12C%11=O)=C(C#N)\C#N)=C%10CC(CCCCCC)CCCC)=C6S4)CC(CCCCCC)CCCC)=C(C#N)\C#N,14.98,1,PM6,end_group,-0.95
