nonhalogenated_NFA_name,nonhalogenated_PCE,halogenated_name,halogenated_PCE,halogenation_detailed,halogenation,donor,donor_type,class,difference
ITIC-Th,8.67,ITIC-Th1,11.9,2F opposite,fluorinated,FTAZ,fluorinated,fused,3.23
ITIC-Th,8.67,ITIC-Th2,8.93,4F,fluorinated,FTAZ,fluorinated,fused,0.26
TfIF-IC,5.7,TfIF-4FIC,12.8,4F,fluorinated,PM6,fluorinated,fused,7.1
TTPTTT-IC,7.69,TTPTTT-2F,11.21,2F opposite,fluorinated,PBT1-C,nonhalogenated,fused,3.52
TTPTTT-IC,7.69,TTPTTT-4F,11.89,4F,fluorinated,PBT1-C,nonhalogenated,fused,4.2
M1,7.83,M2,10.87,4F,fluorinated,PM6,fluorinated,fused,3.04
8TIC,5.88,8TIC-4F,10.02,4F,fluorinated,PTB7-Th,fluorinated,fused,4.14
CRIC,5.83,CRIC-4F,5.56,4F,fluorinated,J52-2F,fluorinated,fused,-0.27
IDT2-IC,7.84,IDT2-IC-4Cl,12.2,4Cl,chlorinated,PBDB-T,nonhalogenated,fused,4.36
IDTT-BOA,1.95,IDTT-BOACl,3.24,2Cl opposite,chlorinated,PBDB-T,nonhalogenated,fused,1.29
ITOR-IC,9.1,ITOR-IC4F,10.85,4F,fluorinated,PM6,fluorinated,fused,1.75
IDTT2OT,6.36,IDTT2OT-2F,9.8,2F opposite,fluorinated,PBDB-T,nonhalogenated,fused,3.44
IDTT2OT,6.36,IDTT2OT-4F,10.13,4F,fluorinated,PBDB-T,nonhalogenated,fused,3.77
Py-2H,5.13,Py-2F,9.73,4F,fluorinated,PBDB-T,nonhalogenated,fused,4.6
ITOIC,8.79,ITOIC-F,10.49,2F opposite,fluorinated,PBDB-T,nonhalogenated,fused,1.7
