,reported_acceptor,don_ID,reported_donor,DOI,PCE_avg,donor_type,acc_SMILES_sidechains,don_mon_SMILES,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count
1391,N66-IC,3,PBDB-T,10.1021/acsaem.0c00689,5.33,polymer,O=C(C1=C(C/2=C(C#N)\C#N)C=CC=C1)C2=C/C3=CC4=C(C5=C(S4)C6=CC=C(C(SC7=C8SC(/C=C9C(C%10=C(C\9=C(C#N)/C#N)C=CC=C%10)=O)=C7)=C8C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%14=C%11C=CC(C(C%15=CC=C(CCCCCC)C=C%15)5C%16=CC=C(CCCCCC)C=C%16)=C6%14)S3,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC,1,1,0,0,0,0,0,0,0,0,0,0
1392,N66-IC,12,PBDB-TF,10.1021/acsaem.0c00689,1.8,polymer,O=C(C1=C(C/2=C(C#N)\C#N)C=CC=C1)C2=C/C3=CC4=C(C5=C(S4)C6=CC=C(C(SC7=C8SC(/C=C9C(C%10=C(C\9=C(C#N)/C#N)C=CC=C%10)=O)=C7)=C8C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%14=C%11C=CC(C(C%15=CC=C(CCCCCC)C=C%15)5C%16=CC=C(CCCCCC)C=C%16)=C6%14)S3,CCCCC(CC1=C(F)C=C(C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)S1)CC,1,1,0,0,0,0,0,0,0,0,0,0
1393,N66-2FIC,3,PBDB-T,10.1021/acsaem.0c00689,3.6,polymer,O=C(C1=C(C/2=C(C#N)\C#N)C=C(F)C(F)=C1)C2=C/C3=CC4=C(C5=C(S4)C6=CC=C(C(SC7=C8SC(/C=C9C(C%10=C(C\9=C(C#N)/C#N)C=C(F)C(F)=C%10)=O)=C7)=C8C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%14=C%11C=CC(C(C%15=CC=C(CCCCCC)C=C%15)5C%16=CC=C(CCCCCC)C=C%16)=C6%14)S3,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC,1,1,0,0,0,0,0,0,0,0,0,0
1394,N66-2FIC,12,PBDB-TF,10.1021/acsaem.0c00689,8.91,polymer,O=C(C1=C(C/2=C(C#N)\C#N)C=C(F)C(F)=C1)C2=C/C3=CC4=C(C5=C(S4)C6=CC=C(C(SC7=C8SC(/C=C9C(C%10=C(C\9=C(C#N)/C#N)C=C(F)C(F)=C%10)=O)=C7)=C8C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%14=C%11C=CC(C(C%15=CC=C(CCCCCC)C=C%15)5C%16=CC=C(CCCCCC)C=C%16)=C6%14)S3,CCCCC(CC1=C(F)C=C(C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)S1)CC,1,1,0,0,0,0,0,0,0,0,0,0
1395,N65-IC,3,PBDB-T,10.1021/acsaem.0c00689,8.91,polymer,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C9C%10=C6C=CC=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC%14=C%13SC(/C=C%15/C(C(C=CC=C%16)=C%16C%15=O)=C(C#N)/C#N)=C%14)=C(C#N)\C#N,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC,1,1,0,0,0,0,0,0,0,0,0,0
1396,N65-IC,12,PBDB-TF,10.1021/acsaem.0c00689,6.27,polymer,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C9C%10=C6C=CC=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC%14=C%13SC(/C=C%15/C(C(C=CC=C%16)=C%16C%15=O)=C(C#N)/C#N)=C%14)=C(C#N)\C#N,CCCCC(CC1=C(F)C=C(C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)S1)CC,1,1,0,0,0,0,0,0,0,0,0,0
1397,N65-2FIC,3,PBDB-T,10.1021/acsaem.0c00689,8.28,polymer,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C9C%10=C6C=CC=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC%14=C%13SC(/C=C%15/C(C(C=C(F)C(F)=C%16)=C%16C%15=O)=C(C#N)/C#N)=C%14)=C(C#N)\C#N,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC,1,1,0,0,0,0,0,0,0,0,0,0
1398,N65-2FIC,12,PBDB-TF,10.1021/acsaem.0c00689,9.94,polymer,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C9C%10=C6C=CC=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC%14=C%13SC(/C=C%15/C(C(C=C(F)C(F)=C%16)=C%16C%15=O)=C(C#N)/C#N)=C%14)=C(C#N)\C#N,CCCCC(CC1=C(F)C=C(C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)S1)CC,1,1,0,0,0,0,0,0,0,0,0,0
1399,DTG-OW,7,PTB7-Th,10.1021/acsaem.0c01097,7.37,polymer,N#C/C(C#N)=C(/C1=C/C2=C(CC(CCCC)CC)C=C(S2)C3=CC4=C(S3)C5=C([Ge]4(CC(CCCC)CC)CC(CCCC)CC)C=C(C6=CC(CC(CC)CCCC)=C(S6)/C=C7/C(C8=C(C=C(C(F)=C8)F)C7=O)=C(C#N)/C#N)S5)C9=C(C=C(C(F)=C9)F)C1=O,CCCCC(COC(C1=C(F)C2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(S6)CC(CCCC)CC)=C4S3)C=CS5)C7=CC=C(S7)CC(CCCC)CC)=C2S1)=O)CC,1,0,0,0,0,1,0,0,0,0,0,0
1400,DTG-IW,7,PTB7-Th,10.1021/acsaem.0c01097,9.08,polymer,N#C/C(C#N)=C(C1=C(C2=O)C=C(F)C(F)=C1)\C2=C\C3=CC(CC(CC)CCCC)=C(C4=CC5=C(C(SC(C6=C(CC(CCCC)CC)C=C(/C=C7/C(C8=C(C7=O)C=C(F)C(F)=C8)=C(C#N)\C#N)S6)=C9)=C9[Ge]5(CC(CC)CCCC)CC(CC)CCCC)S4)S3,CCCCC(COC(C1=C(F)C2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(S6)CC(CCCC)CC)=C4S3)C=CS5)C7=CC=C(S7)CC(CCCC)CC)=C2S1)=O)CC,1,0,0,0,0,1,0,0,0,0,0,0
